Player,Span,Matches,Inns,Balls,Runs,Wickets,Economy,Bowling SR,No of 4Wicket Haul,No of 5Wicket haul
PL Taylor (AUS),1987-1992,83,80,3937,2740,97,4.17,40.5,1,0
N Boje (Afr/SA),1995-2005,115,108,4541,3415,96,4.51,47.3,2,1
PJ Cummins (AUS),2011-2019,58,58,3033,2603,96,5.14,31.5,5,1
JP Faulkner (AUS),2013-2017,69,67,3211,2962,96,5.53,33.4,4,0
V Sehwag (Asia/ICC/INDIA),1999-2013,251,146,4392,3853,96,5.26,45.7,1,0
PA Strang (ZIM),1994-2001,95,89,4351,3173,96,4.37,45.3,2,2
TL Chatara (ZIM),2013-2019,70,70,3431,2905,95,5.08,36.1,1,0
PS de Villiers (SA),1992-1997,83,82,4422,2636,95,3.57,46.5,2,0
AJ Hall (SA),1999-2007,88,78,3341,2515,95,4.51,35.1,3,1
WD Parnell (SA),2009-2017,65,61,2911,2738,94,5.64,30.9,3,2
SO Tikolo (Afr/KENYA),1996-2014,135,99,4016,3215,94,4.8,42.7,2,0
LL Tsotsobe (SA),2009-2013,61,60,2964,2347,94,4.75,31.5,7,0
MJ Henry (NZ),2014-2019,52,50,2703,2437,92,5.4,29.3,7,2
SP Narine (WI),2011-2016,65,65,3540,2435,92,4.12,38.4,4,2
AC Cummins (CAN/WI),1991-2007,76,74,3767,2877,91,4.58,41.3,2,1
CB Mpofu (ZIM),2004-2019,83,82,3900,3513,91,5.4,42.8,2,1
BP Patterson (WI),1986-1993,59,58,3050,2206,90,4.33,33.8,1,1
BL Cairns (NZ),1974-1985,78,75,4015,2717,89,4.06,45.1,2,1
GH Dockrell (IRE),2010-2019,87,85,4232,3327,89,4.71,47.5,4,0
Saleem Malik (PAK),1982-1999,283,120,3505,2959,89,5.06,39.3,1,1
MN Samuels (WI),2000-2018,207,134,5091,4127,89,4.86,57.2,0,0
TM Alderman (AUS),1981-1991,65,65,3371,2056,88,3.65,38.3,1,2
GF Lawson (AUS),1980-1989,79,79,4259,2592,88,3.65,48.3,1,0
GJ Whittall (ZIM),1993-2003,147,112,4060,3481,88,5.14,46.1,1,0
AME Roberts (WI),1975-1983,56,56,3123,1771,87,3.4,35.8,2,1
MM Patel (INDIA),2006-2011,70,67,3154,2603,86,4.95,36.6,3,0
Aamer Sohail (PAK),1990-2000,156,125,4836,3703,85,4.59,56.8,1,0
YS Chahal (INDIA),2016-2019,50,49,2659,2246,85,5.06,31.2,2,2
IJ Harvey (AUS),1997-2004,73,70,3279,2577,85,4.71,38.5,4,0
RM Hogg (AUS),1979-1985,71,67,3677,2418,85,3.94,43.2,5,0
JR Ratnayeke (SL),1982-1990,78,76,3573,2866,85,4.81,42,1,0
ME Waugh (AUS),1988-2002,244,120,3687,2938,85,4.78,43.3,1,1
MM Ali (ENG),2014-2019,101,95,4654,4089,84,5.27,55.4,1,0
CD Collymore (WI),1999-2007,84,80,4074,2924,83,4.3,49,1,1
Mohammad Irfan (PAK),2010-2016,60,60,3109,2549,83,4.91,37.4,2,0
PV Simmons (WI),1987-1999,143,103,3880,2876,83,4.44,46.7,2,0
Hasan Ali (PAK),2016-2019,53,51,2548,2381,82,5.6,31,1,3
MJ McClenaghan (NZ),2013-2016,48,45,2336,2313,82,5.94,28.4,6,1
CG Rackemann (AUS),1983-1991,52,52,2791,1833,82,3.94,34,3,1
JEC Franklin (NZ),2001-2013,110,97,3848,3354,81,5.22,47.5,0,1
Mohammad Amir (PAK),2009-2019,61,60,3013,2400,81,4.77,37.1,1,1
DJG Sammy (WI),2004-2015,126,119,4956,3851,81,4.66,61.1,1,0
RGD Willis (ENG),1973-1984,64,64,3595,1968,80,3.28,44.9,4,0
CR Matthews (SA),1991-1997,56,55,3003,1975,79,3.94,38,3,0
A Ranatunga (SL),1982-1999,269,135,4710,3757,79,4.78,59.6,1,0
AJ Bichel (AUS),1997-2004,67,66,3257,2463,78,4.53,41.7,1,2
IDR Bradshaw (WI),2004-2007,62,62,3172,2299,78,4.34,40.6,0,0
PJ Ongondo (Afr/KENYA),1999-2011,79,79,3102,2350,78,4.54,39.7,1,1
RMH Binny (INDIA),1980-1987,72,67,2957,2260,77,4.58,38.4,3,0
Iftikhar Anjum (PAK),2004-2010,62,60,2960,2430,77,4.92,38.4,2,1
P Kumar (INDIA),2007-2012,68,67,3242,2774,77,5.13,42.1,3,0
R McLaren (SA),2009-2014,54,51,2403,2102,77,5.24,31.2,5,0
JE Emburey (ENG),1980-1993,61,61,3425,2346,76,4.1,45,2,0
SJ Harmison (ENG),2002-2009,58,57,2899,2481,76,5.13,38.1,2,1
RD King (WI),1998-2005,50,50,2603,1807,76,4.16,34.2,2,0
Mahmudullah (BDESH),2007-2019,185,134,4090,3527,76,5.17,53.8,0,0
RJ Ratnayake (SL),1982-1993,70,70,3575,2712,76,4.55,47,1,1
GB Brent (ZIM),1996-2008,70,69,3390,2776,75,4.91,45.2,3,0
RJ Peterson (SA),2002-2014,79,74,3278,2680,75,4.9,43.7,3,0
S Sreesanth (INDIA),2005-2011,53,52,2476,2508,75,6.07,33,2,1
HMRKB Herath (SL),2004-2015,71,67,3242,2362,74,4.37,43.8,1,0
TJ Murtagh (IRE),2012-2019,58,57,3020,2290,74,4.54,40.8,4,1
W Watson (NZ),1986-1994,61,61,3251,2247,74,4.14,43.9,1,0
AR Border (AUS),1979-1994,273,87,2661,2071,73,4.66,36.4,0,0
RS Kalpage (SL),1992-1999,86,81,3960,2975,73,4.5,54.2,2,0
S Madan Lal (INDIA),1974-1987,67,64,3164,2137,73,4.05,43.3,2,0
J Botha (Afr/SA),2005-2012,78,75,3823,2916,72,4.57,53,1,0
GS Chappell (AUS),1971-1983,74,67,3108,2097,72,4.04,43.1,0,2
JR Hazlewood (AUS),2010-2018,44,43,2294,1811,72,4.73,31.8,1,3
PL Symcox (SA),1993-1999,80,80,3991,2762,72,4.15,55.4,1,0
DBL Powell (WI),2002-2009,55,55,2850,2239,71,4.71,40.1,2,0
Sohail Tanvir (PAK),2007-2014,62,60,2949,2566,71,5.22,41.5,3,1
SC Williams (ZIM),2005-2019,131,107,4080,3300,71,4.85,57.4,1,0
EA Brandes (ZIM),1987-1999,59,59,2828,2266,70,4.8,40.4,1,2
BM McMillan (SA),1991-1998,78,75,3623,2589,70,4.28,51.7,1,0
NN Odhiambo (KENYA),2006-2014,69,67,2808,2585,70,5.52,40.1,1,0
AD Russell (WI),2011-2019,56,55,2290,2229,70,5.84,32.7,5,0
BA Stokes (ENG),2011-2019,95,80,2912,2920,70,6.01,41.6,1,1
AR Caddick (ENG),1993-2003,54,53,2937,1965,69,4.01,42.5,3,0
JP Duminy (SA),2004-2019,199,135,3513,3143,69,5.36,50.9,1,0
SB Joshi (INDIA),1996-2001,69,67,3386,2509,69,4.44,49,1,1
MJ Santner (NZ),2015-2019,69,64,3079,2510,69,4.89,44.6,0,1
Shafiul Islam (BDESH),2010-2019,59,59,2486,2453,69,5.92,36,4,0
RP Singh (INDIA),2005-2011,58,57,2565,2343,69,5.48,37.1,2,0
RR Singh (INDIA),1989-2001,136,117,3734,2985,69,4.79,54.1,0,2
CPH Ramanayake (SL),1986-1995,62,62,2864,2049,68,4.29,42.1,1,0
HA Varaiya (KENYA),2006-2014,63,60,2951,2048,68,4.16,43.3,2,0
MA Ealham (ENG),1996-2001,64,62,3227,2197,67,4.08,48.1,1,2
LH Ferguson (NZ),2016-2019,36,36,1902,1719,67,5.42,28.3,2,1
JR Hopes (AUS),2005-2010,84,75,3157,2384,67,4.53,47.1,0,1
MS Kasprowicz (AUS),1995-2005,43,42,2225,1674,67,4.51,33.2,1,2
Khaled Mahmud (BDESH),1998-2006,77,75,3385,2865,67,5.07,50.5,1,0
C Sharma (INDIA),1983-1994,65,63,2835,2336,67,4.94,42.3,0,0
DT Johnston (IRE),2006-2013,67,63,2930,2115,66,4.33,44.3,1,1
CC Lewis (ENG),1990-1998,53,49,2625,1942,66,4.43,39.7,4,0
Maninder Singh (INDIA),1983-1993,59,57,3133,2066,66,3.95,47.4,1,0
T Panyangara (ZIM),2004-2016,65,65,3242,3024,65,5.59,49.8,0,0
AL Phehlukwayo (SA),2016-2019,52,50,2077,1936,65,5.59,31.9,3,0
C White (ENG),1994-2003,51,50,2364,1726,65,4.38,36.3,1,1
A Zampa (AUS),2016-2019,48,48,2480,2363,65,5.71,38.1,1,0
A Mishra (INDIA),2003-2016,36,34,1917,1511,64,4.72,29.9,2,2
DJ Nash (NZ),1992-2002,81,78,3416,2622,64,4.6,53.3,1,0
SM Sharif (SCOT),2011-2019,44,44,2129,1776,64,5,33.2,2,1
AR Cusack (IRE),2007-2015,59,52,1953,1510,63,4.63,31,1,1
NM Hauritz (AUS),2002-2011,58,56,2724,2152,63,4.74,43.2,2,0
NL McCullum (NZ),2009-2015,84,81,3536,2956,63,5.01,56.1,0,0
Mujeeb Ur Rahman (AFG),2017-2019,40,39,2153,1414,63,3.94,34.1,2,1
AD Mullally (ENG),1996-2001,50,49,2699,1728,63,3.84,42.8,2,0
SLV Raju (INDIA),1990-1996,53,52,2770,2014,63,4.36,43.9,2,0
BA Reid (AUS),1986-1992,61,61,3250,2203,63,4.06,51.5,0,1
Sarfraz Nawaz (PAK),1973-1984,45,45,2412,1463,63,3.63,38.2,4,0
DE Bollinger (AUS),2009-2011,39,39,1942,1482,62,4.57,31.3,3,2
SW Tait (AUS),2007-2011,35,34,1688,1461,62,5.19,27.2,2,0
DT Hondo (ZIM),2001-2005,56,56,2381,2171,61,5.47,39,3,0
DR Smith (WI),2004-2015,105,73,2726,2285,61,5.02,44.6,3,1
Syed Rasel (BDESH),2005-2010,52,52,2657,2051,61,4.63,43.5,1,0
MA Wood (ENG),2015-2019,51,50,2585,2385,61,5.53,42.3,2,0
CJ Anderson (NZ),2013-2017,49,43,1485,1502,60,6.06,24.7,2,1
FH Edwards (WI),2003-2009,50,49,2138,1812,60,5.08,35.6,0,2
RM Haq (SCOT),2006-2015,54,51,2633,1975,60,4.5,43.8,2,1
JC Tredwell (ENG),2010-2015,45,44,2104,1666,60,4.75,35,3,0
ALF de Mel (SL),1982-1987,57,57,2735,2237,59,4.9,46.3,1,2
NA Foster (ENG),1984-1989,48,48,2627,1836,59,4.19,44.5,0,0
Gulbadin Naib (AFG),2011-2019,65,60,2194,1968,59,5.38,37.1,2,1
Hamid Hassan (AFG),2009-2019,38,37,1734,1330,59,4.6,29.3,2,1
JDS Neesham (NZ),2013-2019,59,55,1772,1814,59,6.14,30,2,1
Shadab Khan (PAK),2017-2019,43,41,2088,1750,59,5.02,35.3,3,0
Sikandar Raza (ZIM),2013-2019,97,71,2846,2269,59,4.78,48.2,0,0
Tapash Baisya (BDESH),2002-2007,56,56,2608,2452,59,5.64,44.2,2,0
KM Jarvis (ZIM),2009-2019,49,49,2362,2088,58,5.3,40.7,2,0
HK Olonga (ZIM),1995-2003,50,49,2059,1977,58,5.76,35.5,2,2
GC Small (ENG),1987-1992,53,53,2793,1942,58,4.17,48.1,1,0
Mudassar Bukhari (NL),2007-2014,46,46,2036,1601,57,4.71,35.7,0,0
MJ Clarke (AUS),2003-2015,245,106,2585,2146,57,4.98,45.3,1,1
GRJ Matthews (AUS),1984-1993,59,54,2808,2004,57,4.28,49.2,0,0
DS Mohanty (INDIA),1997-2001,45,44,1996,1662,57,4.99,35,1,0
T Mupariwa (ZIM),2004-2016,40,40,2019,1690,57,5.02,35.4,3,0
Arshad Khan (PAK),1993-2006,58,56,2823,1948,56,4.14,50.4,1,0
R Telemachus (SA),1998-2006,37,37,1918,1565,56,4.89,34.2,1,0
XJ Doherty (AUS),2010-2015,60,56,2792,2224,55,4.77,50.7,3,0
AF Giles (ENG),1997-2005,62,57,2856,2069,55,4.34,51.9,0,1
Tauseef Ahmed (PAK),1982-1990,70,67,3250,2247,55,4.14,59,1,0
RN ten Doeschate (NL),2006-2011,33,33,1580,1327,55,5.03,28.7,3,0
JR Thomson (AUS),1975-1985,50,50,2696,1942,55,4.32,49,1,0
JV Coney (NZ),1979-1987,88,70,2931,2039,54,4.17,54.2,1,0
N Pradeep (SL),2012-2019,42,40,1996,1998,54,6,36.9,2,0
HH Pandya (INDIA),2016-2019,54,53,2368,2195,54,5.56,43.8,0,0
AR Adams (NZ),2001-2007,42,40,1885,1643,53,5.22,35.5,2,1
SR Clark (AUS),2005-2009,39,38,1829,1477,53,4.84,34.5,2,0
Mohammad Naveed (UAE),2014-2019,39,39,1938,1757,53,5.43,36.5,0,1
LS Pascoe (AUS),1977-1982,29,28,1568,1066,53,4.07,29.5,4,1
SMSM Senanayake (SL),2012-2015,49,47,2358,1874,53,4.76,44.4,1,0
GI Allott (NZ),1997-2000,31,31,1528,1207,52,4.73,29.3,4,0
NM Coulter-Nile (AUS),2013-2019,32,32,1678,1555,52,5.56,32.2,1,0
KSC de Silva (SL),1996-2000,38,37,1619,1323,52,4.9,31.1,0,0
DS Lehmann (AUS),1996-2005,117,62,1793,1445,52,4.83,34.4,1,0
TM Moody (AUS),1987-1999,76,66,2797,2014,52,4.32,53.7,0,0
KA Pollard (WI),2007-2019,107,74,2116,2025,52,5.74,40.6,0,0
DJ Willey (ENG),2015-2019,46,45,1971,1889,52,5.75,37.9,2,0
A Dananjaya (SL),2012-2019,36,34,1773,1506,51,5.09,34.7,2,2
VC Drakes (WI),1995-2004,34,34,1640,1293,51,4.73,32.1,3,2
BJ McCarthy (IRE),2016-2019,27,27,1389,1360,51,5.87,27.2,2,1
AM Blignaut (ZIM),1999-2010,54,53,2348,2063,50,5.27,46.9,2,0
GJ Maxwell (AUS),2012-2019,110,86,2698,2525,50,5.61,53.9,2,0
JA Morkel (Afr/SA),2004-2012,58,52,2073,1899,50,5.49,41.4,2,0
PM Seelaar (NL),2006-2019,41,41,1901,1476,50,4.65,38,1,0
T Thushara (SL),2008-2010,38,38,1676,1393,50,4.98,33.5,0,1
JH Davey (SCOT),2010-2019,31,29,1301,1082,49,4.99,26.5,1,2
CD McMillan (NZ),1997-2007,197,74,1879,1717,49,5.48,38.3,0,0
AR Nurse (WI),2016-2019,54,49,2384,2125,49,5.34,48.6,2,0
JS Patel (NZ),2005-2017,43,42,2014,1691,49,5.03,41.1,0,0
GR Dilley (ENG),1979-1988,36,36,2043,1291,48,3.79,42.5,3,0
